order_id,order_date,customer_id,store_id,product_id,qty,unit_price
SO-000001,2025-12-18,88,1,39,4,109.71
SO-000001,2025-12-18,88,1,231,4,145.92
SO-000001,2025-12-18,88,1,288,1,257.79
SO-000001,2025-12-18,88,1,207,7,310.69
SO-000001,2025-12-18,88,1,204,2,66.32
SO-000002,2026-01-23,77,4,133,0,85.58
SO-000002,2026-01-23,77,4,290,6,151.14
SO-000002,2026-01-23,77,4,430,6,132.85
SO-000002,2026-01-23,77,4,60,2,162.95
SO-000002,2026-01-23,77,4,441,7,60.48
SO-000003,2026-01-09,32,1,233,4,163.48
SO-000003,2026-01-09,32,1,277,1,8.41
SO-000003,2026-01-09,32,1,351,5,94.93
SO-000003,2026-01-09,32,1,269,4,73.98
SO-000003,2026-01-09,32,1,148,2,166.4
SO-000004,2025-11-17,150,8,125,4,241.78
SO-000005,2025-10-21,128,7,446,4,79.46
SO-000005,2025-10-21,128,7,1,2,229.47
SO-000006,2025-09-07,124,6,343,5,284.21
SO-000006,2025-09-07,124,6,204,3,164.89
SO-000006,2025-09-07,124,6,150,4,97.84
SO-000006,2025-09-07,124,6,156,4,242.03
SO-000007,2025-09-05,13,5,216,4,41.95
SO-000007,2025-09-05,13,5,477,2,207.35
SO-000008,2026-01-22,133,3,81,3,91.99
SO-000008,2026-01-22,133,3,393,7,10.06
SO-000009,2026-01-30,27,1,68,4,239.81
SO-000010,2025-11-25,124,1,425,6,242.99
SO-000010,2025-11-25,124,1,381,2,156.88
SO-000011,2025-12-21,15,2,151,2,316.45
SO-000011,2025-12-21,15,2,197,6,294.71
SO-000011,2025-12-21,15,2,180,4,21.44
SO-000011,2025-12-21,15,2,54,2,161.13
SO-000012,2025-12-01,23,1,278,2,85.26
SO-000013,2025-11-20,139,7,480,4,72.58
SO-000013,2025-11-20,139,7,240,7,298.57
SO-000013,2025-11-20,139,7,216,7,191.76
SO-000014,2026-01-05,135,4,442,3,200.25
SO-000014,2026-01-05,135,4,405,4,234.43
SO-000014,2026-01-05,135,4,292,4,285.38
SO-000014,2026-01-05,135,4,42,3,29.41
SO-000015,2025-10-12,119,5,251,3,257.28
SO-000016,2025-09-13,16,5,500,4,189.31
SO-000016,2025-09-13,16,5,24,6,209.81
SO-000016,2025-09-13,16,5,54,4,81.37
SO-000016,2025-09-13,16,5,433,7,297.58
SO-000016,2025-09-13,16,5,192,3,67.93
SO-000017,2025-12-20,66,1,195,3,277.04
SO-000017,2025-12-20,66,1,153,6,76.33
SO-000018,2025-09-13,33,6,388,3,80.79
SO-000019,2026-02-09,139,5,349,1,141.01
SO-000019,2026-02-09,139,5,55,2,209.45
SO-000019,2026-02-09,139,5,465,2,282.58
SO-000019,2026-02-09,139,5,496,4,86.31
SO-000020,2025-09-25,9,6,98,2,112.73
SO-000020,2025-09-25,9,6,381,4,147.41
SO-000020,2025-09-25,9,6,127,4,209.55
SO-000020,2025-09-25,9,6,305,2,62.7
SO-000020,2025-09-25,9,6,387,5,155.96
SO-000021,2026-01-11,83,6,341,6,90.18
SO-000022,2025-11-20,68,7,96,4,248.12
SO-000022,2025-11-20,68,7,219,1,30.29
SO-000023,2026-01-24,98,2,71,3,60.74
